"age";"job";"marital";"education";"default";"balance";"housing";"loan";"contact";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
39;"self-employed";"married";"tertiary";"no";1047;"no";"no";"unknown";6;"jun";554;1;-1;0;"unknown";"yes"
52;"housemaid";"married";"primary";"no";1837;"no";"no";"unknown";6;"jun";118;1;-1;0;"unknown";"no"
30;"blue-collar";"divorced";"primary";"no";1;"yes";"no";"unknown";6;"jun";63;9;-1;0;"unknown";"no"
25;"management";"single";"tertiary";"no";490;"yes";"no";"unknown";6;"jun";246;3;-1;0;"unknown";"no"
60;"retired";"married";"secondary";"no";-1110;"yes";"no";"unknown";6;"jun";143;2;-1;0;"unknown";"no"
38;"blue-collar";"married";"secondary";"no";0;"no";"no";"unknown";6;"jun";361;1;-1;0;"unknown";"no"
43;"technician";"married";"tertiary";"no";80;"no";"no";"cellular";28;"aug";9;32;-1;0;"unknown";"no"
60;"retired";"married";"tertiary";"no";486;"no";"no";"cellular";28;"aug";139;4;-1;0;"unknown";"no"
42;"management";"single";"tertiary";"no";759;"no";"yes";"cellular";28;"aug";105;6;-1;0;"unknown";"no"
34;"management";"single";"tertiary";"no";46;"no";"no";"cellular";28;"aug";211;17;-1;0;"unknown";"no"
38;"student";"married";"secondary";"no";140;"no";"no";"cellular";28;"aug";12;21;-1;0;"unknown";"no"
37;"management";"married";"tertiary";"no";6743;"no";"no";"cellular";28;"aug";13;13;-1;0;"unknown";"no"
41;"technician";"married";"secondary";"no";1946;"no";"no";"cellular";28;"aug";327;9;-1;0;"unknown";"no"
59;"retired";"married";"secondary";"no";0;"no";"no";"cellular";28;"aug";23;15;-1;0;"unknown";"no"
46;"management";"married";"tertiary";"no";1906;"no";"no";"cellular";28;"aug";44;6;-1;0;"unknown";"no"
34;"technician";"married";"secondary";"no";0;"no";"no";"cellular";28;"aug";183;10;-1;0;"unknown";"no"
40;"technician";"married";"secondary";"no";1232;"no";"no";"cellular";28;"aug";175;11;-1;0;"unknown";"no"
37;"management";"married";"secondary";"no";859;"no";"no";"cellular";28;"aug";246;15;-1;0;"unknown";"no"
44;"management";"divorced";"tertiary";"no";0;"no";"no";"cellular";28;"aug";70;10;-1;0;"unknown";"no"
30;"technician";"single";"tertiary";"no";0;"no";"no";"cellular";28;"aug";20;19;-1;0;"unknown";"no"
32;"services";"single";"tertiary";"no";0;"no";"no";"cellular";28;"aug";23;12;-1;0;"unknown";"no"
50;"blue-collar";"married";"secondary";"no";6288;"no";"no";"cellular";28;"aug";20;14;-1;0;"unknown";"no"
42;"technician";"married";"secondary";"no";1013;"no";"yes";"cellular";28;"aug";117;8;-1;0;"unknown";"no"
42;"technician";"divorced";"secondary";"no";37;"no";"no";"cellular";28;"aug";28;16;-1;0;"unknown";"no"
59;"retired";"married";"secondary";"no";0;"no";"no";"cellular";28;"aug";359;7;-1;0;"unknown";"no"
44;"management";"married";"tertiary";"no";217;"yes";"no";"cellular";28;"aug";203;4;-1;0;"unknown";"no"
